lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,DOD100-M2-5xFAD-diencephalon10x_01202023,DOD100-M3-5xFAD-diencephalon10x_01202023,DOD99-M1-5xFAD-diencephalon10x_01202023,M1FAD173-5xFAD-Diencephalon10x_01182023,M2FAD173-5xFAD-Diencephalon10x_01192023,DOD100-M2-5xFAD-cortex10x_01202023,DOD99-M1-5xFAD-cortex10x_01202023,M1FAD173-5xFAD-Cortex10x_01182023,M2FAD173-5xFAD-Cortex10x_01192023,10xBlank_01202023
22:2 Campesteryl ester,2.1509723340058793,10.479420364387279,18.68013931113819,1.545842708259871e-5,0.011570632671325135,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,3415261.498123169,1941418.5549240112,950963.794708252,341881.02141952515,226201.9358673096,560526.3181762695,350653.6643676758,191685.9516410828,109390.46683120728,80835.36569976807
22:3 Campesteryl ester,2.197545072532749,10.712409255668117,19.417103859916097,1.0506192105024751e-5,0.011570632671325135,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,4006962.4003601074,2313333.353652954,1145395.0406341553,463608.8536758423,215819.47241592407,665137.4459533691,401060.3264312744,213215.67528152463,110209.54704284668,78485.72638702393
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",1.986847297239443,10.822161087494848,16.168170582037423,5.795987891012271e-5,0.018850356939101674,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,4193570.23059082,2436225.9285354614,1227538.8339004517,487762.71195983887,245699.79766082764,760646.4669799805,476102.9566268921,238534.7177581787,214955.03761291504,79871.64535522461
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",2.0273887093532754,10.832265367392926,16.776015114519392,4.206160401560871e-5,0.018850356939101674,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,4263195.970428467,2450399.517211914,1237139.4935913086,480094.9753990173,260850.21912384036,759511.5723876953,460364.1280517578,238796.4598121643,205046.51355743408,78654.8657836914
"Cholesteryl 11-hydroperoxy-eicosatetraenoate, 22:2 Cholesteryl ester, 20:1 Stigmasteryl ester, 20:2 Sitosteryl ester",1.9763013761206039,10.846357304299726,16.011453409475504,6.296044401837566e-5,0.018850356939101674,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,4335094.217636108,2424601.445907593,1214155.489013672,473240.09295654297,260224.8973274231,785230.433883667,486303.7544708252,242612.57849502563,212423.1340522766,95162.20687866212
TAG(58:8)_FA 20:0,-1.7469661375205965,6.853267389529928,13.854258610337915,1.9754854078049428e-4,0.04928836092473332,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,TAG,28455.601776123047,35273.68272399902,40271.56262207031,36963.423263549805,24750.1417388916,34199.32277679443,347220.5799560547,42440.74317932129,25080.001861572266,27536.982162475582
"ecdysone palmitate, 22:3 Cholesteryl ester, 20:2 Stigmasteryl ester, 20:3 Sitosteryl ester",1.7646659880562963,10.941656532361586,12.993460471901926,3.1258074849879926e-4,0.06684762578610036,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,4266531.996337891,2546012.7651367188,1304348.4512939453,547096.079498291,299023.34020996094,886596.4566040039,609977.1625366211,312567.95877075195,252679.2993774414,186491.7528076172
PS (32:5),1.7398346342134219,7.835618948128963,12.655394202542084,3.7448362667110563e-4,0.07007524864083065,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,PS,34273.522399902344,65589.324462890625,26214.4017868042,45109.22280883789,718289.7510681152,30044.382289886475,21637.281494140625,142611.30975341797,50807.263427734375,43834.64358520508
20:0 Campesteryl ester,1.5593353312750153,11.124272196025297,10.311626426002476,0.0013219472723967794,0.18388775713659336,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,4539166.369384766,2738800.2377929688,1488004.1958007812,631150.6455078125,367630.4270629883,1051954.5400390625,802405.31298828125,404391.10778808594,333963.88360595703,317584.8635253906
22:5 Cholesteryl ester,1.5431169562735128,11.142369574079845,10.110774361382937,0.001474050157407562,0.18388775713659336,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,4551026.404541016,2730467.060913086,1502246.861694336,666926.9046630859,385240.2494506836,1072980.8911132812,829280.7783203125,412156.6676635742,328844.22247314453,343852.4637451172
